機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
沖ドキ！GOLD-30,https://p-town.dmm.com/upload/machines/4264/image.jpg?t=1666775063,,ミズホ  ミズホの掲載機種一覧,97.2% 〜 108.1%,2022/12/19(月),シリーズNo.1の出玉性能で、『沖ドキ！GOLD-30』が登場する。  基本的なゲームの流れはこれまでと共通で、告知が発生すればボーナス確定。天国以上のモードに移行していれば、32G以内にボーナスが連チャンする。期待枚数は天国が約1300枚、ドキドキが約2000枚、超ドキドキが約2600枚と超強力だ。  新要素である「金ドキモード」は、次回天国モード以上が確定する特殊なモード。連チャンモード終了時にも滞在する可能性があるので、天国→金ドキ→ドキドキのように、切れ目のない連チャンにも期待できる仕様となっている。
パチスロ真俺の空,https://p-town.dmm.com/upload/machines/4268/image.jpg?t=1667202904,,スパイキー（メーカー公式サイト）  スパイキーの掲載機種一覧,97.6% 〜 110.0%,2022/12/19(月),リプレイの連続がチャンスとなる4号機のゲーム性を踏襲して、『パチスロ 真俺の空』が登場する。  通常時はリプ連に加え、レア役などでの直撃や規定ゲーム数消化などでCZ・ATを抽選。リプレイをホールドしてくれる「HOLDシステム」を搭載することで、リプ連が出現しやすくなっているのも特徴といえる。  ATは赤7揃いの「俺のAT」と、青7揃いの「俺のPARTY」の2種類。「俺のAT」は約1/13で当選するゲーム数上乗せや継続率を持ったボーナスのループで出玉増加を目指すゲーム性。「俺のPARTY」は5人のヒロインによって性能が異なり、上乗せ＝特化ゾーン当選濃厚だ。
もっと！チバリヨ-30,https://p-town.dmm.com/upload/machines/4252/image.jpg?t=1664860290,,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.9% 〜 107.6%,2022/12/19(月),チバリヨがもーっとパワーアップして登場！  チェリーがチャンスという基本的なゲーム性はそのままに、天国モードは80%以上、超天国モードは85%以上、パトランプモードは92%と各連チャンモードのループ率が上昇している。
パチスロ這いよれ！ニャル子さん,https://p-town.dmm.com/upload/machines/4259/image.jpg?t=1666172823,,EXCITE（メーカー公式サイト）  EXCITEの掲載機種一覧,97.5% 〜 110.1%,2022/12/05(月),人気作品「這いよれ！ニャル子さん」がパチスロになって登場する。  通常時はニャル目やレア役からCZを目指すゲーム性で、CZをクリアすればボーナス確定。ボーナス後に突入するCZ「でんぶゾーン」をクリアすればATへ突入する。  ATはバトル形式で、敵の体力を0にできれば継続。敵を早く倒すほど大きな恩恵を獲得しやすい。
HEY！エリートサラリーマン鏡,https://p-town.dmm.com/upload/machines/4254/image.jpg?t=1665117627,,パオン・ディーピー（メーカー公式サイト）  パオン・ディーピーの掲載機種一覧,97.6% 〜 114.9%,2022/12/05(月),通常時はゲーム数消化やレア役でボーナスに当選。トランク契機のCZも存在する。  初当りのメインとなるボーナスは40G〜100G継続し、7が揃えばAT確定。100G継続時は1/3で超プレジデントボーナスへ昇格する。  AT「アメリカンドリーム」は純増約2.7枚/Gのゲーム数管理型で、ゲーム数上乗せやディスク獲得を抽選する。ディスクはAT終了時に使用し、1枚につきセット継続or特化ゾーン確定だ。  「ケイシロウダンス」は保留と小役がカギを握る特化ゾーン。「絶頂」は今回も強力で、期待枚数約2500枚を誇っている。AT終了時に「ドリームカムズアゲイン」に突入すれば、約52%でATを引き戻すぞ。
パチスロ幼女戦記,https://p-town.dmm.com/upload/machines/4241/image.jpg?t=1662705369,,サミー（メーカー公式サイト）  サミーの掲載機種一覧,97.9% 〜 108.1%,2022/12/05(月),あの『幼女戦記』が6.5号機のATタイプで登場。  レア役契機のCZやゲーム数消化でボーナスを目指す仕様。ボーナス中などに獲得するオペレーション203をクリアし、AT「白銀ラッシュ」へ突入させるゲーム性だ。  ATは10G＋α/セットで、1Gあたりの純増は約2.6枚。前半10Gはレア役などでVストックの獲得を抽選し、後半のVコンバットで継続をジャッジする。Vコンバットは3つの押し順のうち最低2つが継続となるジャッジ2回のうち、どちらかでクリアすればセット継続確定。Vストックあり時はもちろん継続確定だ。継続時のVの色によってボーナスや特化ゾーンなどの報酬を獲得できる。
パチスロ革命機ヴァルヴレイヴ,https://p-town.dmm.com/upload/machines/4244/image.jpg?t=1663314111,,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,97.3% 〜 114.9%,2022/11/21(月),SANKYOのスマスロ第1弾は『パチスロ 革命機ヴァルヴレイヴ』。  通常時は規定ゲーム数消化で当選するCZをクリアすることでボーナスに当選。ボーナスは「革命ボーナス」と「決戦ボーナス」の2種類で、いずれも消化中にATを抽選する。  AT「革命ラッシュ」は純増約7.2枚で、1セット10〜100G＋α継続。終了後のハラキリチャレンジをクリア（ループ率約77%）すれば再び「革命ラッシュ」へ突入する。この流れを3回繰り返すと上位AT「超革命ラッシュ」突入だ。「超革命ラッシュ」とハラキリチャレンジのループ率は約90%と高いので、ここまでいかに早く到達できるかが、勝利へのカギとなる。
トリプルクラウンビンテージ,https://p-town.dmm.com/upload/machines/4279/image.jpg?t=1668673857,https://p-town.dmm.com/upload/machines/4279/image.jpg?t=1668673857,清龍ジャパン（メーカー公式サイト）  清龍ジャパンの掲載機種一覧,96.6% 〜 107.0%,2022/11/21(月),6号機沖スロで『トリプルクラウンビンテージ』が登場。  ゲーム性はおなじみの完全告知で、252枚獲得できるBIGを搭載している。
Lバキ強くなりたくば喰らえ!!!,https://p-town.dmm.com/upload/machines/4242/image.jpg?t=1664876551,,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.5% 〜 110.4%,2022/11/21(月),オリンピアのスマスロ第一弾は「Lバキ 強くなりたくば喰らえ!!!」。  通常時はレア役で点灯する二つのカウンターやゲーム数消化を契機にCZに突入。CZはベルの第1ナビがカギとなる期待度格上げ型で、最終的に対戦相手を撃破すればAT確定だ。  AT 「オーガバトルボーナス」は純増約2.3枚/Gのループ率＋ストック管理型。バトル勝利で次のセットへ継続し、規定回数勝利で最強CZ「強くなりたくば喰らえ！」へ移行。鬼絵柄の色当てに挑戦し、絵柄が揃えば上位AT「バキバキアルティメット」へ昇格。「バキバキアルティメット」で10勝すると再び「強くなりたくば喰らえ！」へ移行するので、ロングループへの期待も高まる。
スマスロリノヘブン,https://p-town.dmm.com/upload/machines/4246/image.jpg?t=1663751242,,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.5% 〜 107.3%,2022/11/21(月),山佐のスマスロ第一弾はトマトが光ればボーナスが確定するAT機！  ボーナス後の32G間はボーナスループの大チャンス。天国以上滞在に期待しよう。
パチスロ鉄拳4アルティメットデビルVer.,https://p-town.dmm.com/upload/machines/4223/image.jpg?t=1663605606,https://p-town.dmm.com/upload/machines/4223/image.jpg?t=1663605606,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.8% 〜 113.0%,2022/11/07(月),基本的なゲーム性は前作と似ていて、規定ゲーム数消化で突入する「ジャッジメントバトル」で平八に勝利できればAT確定。今作は一戦勝負となっていて、期待度50%以上のバトルに一度勝てばOKだ。  AT開始時は必ず特化ゾーンからスタート。AT中はレア役などでのゲーム数上乗せや擬似ボーナスを絡めてロング継続を目指そう。  今作の最注目ポイントとも呼べる「アルティメットデビルゾーン」は、ジャッジメントバトル失敗時の一部などから突入する50G＋αのフリーズ超高確率ゾーン。フリーズ期待度は約50%と高く、フリーズ非発生でもATには突入する。滞在中のフリーズはプレミアム鉄拳アタック濃厚＝有利区間完走濃厚だ!!
SLOTとある科学の超電磁砲,https://p-town.dmm.com/upload/machines/4247/image.jpg?t=1663831591,,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,97.5% 〜 111.5%,2022/11/07(月),パチンコでも好評の「とある科学の超電磁砲」がパチスロになって登場！  通常時は1000pt獲得でCZに突入する周期抽選タイプで、CZ成功後は超電磁砲CHANCEへ移行。超電磁砲CHANCEに成功することで、メインATの「Eternal Party RUSH」へ突入する。  ATは純増約2.7枚/Gで、初期ゲーム数は特化ゾーンで決定。約1/6で当選するボーナスとATのループで出玉獲得を目指すゲーム性となっていて、ボーナスは基本の「とあるBONUS」のほか、ATゲーム数上乗せに期待できる上位パターンもあり。  AT終了後に「ULTIMATE LOOP」が発動すれば、成功時の期待枚数は約1400枚!…
花火絶景,https://p-town.dmm.com/upload/machines/4236/image.jpg?t=1661931032,,ミズホ（メーカー公式サイト）  ミズホの掲載機種一覧,98.6% 〜 108.3% ※ 完全攻略時,2022/11/07(月),絶景ループが魅力の高純増AT機で、『花火絶景』が登場する。  通常時はリーチ目などでボーナス当選を目指すゲーム性。ボーナスは純増約7.77枚/Gで、ビッグとレギュラーの2種類が存在する。  ビッグにはおなじみのJAC INハズシによる技術介入要素アリ。ボーナス終了後は必ず絶景チャレンジ抽選中へ移行し、5G＋α内に小役を引いて絶景チャレンジへ突入すれば即連のチャンスとなる。ビッグ→絶景チャレンジ→ビッグの夢のループで大量出玉を掴み取ろう。  鉢巻リールを再現した演出など、懐かしの演出も搭載。伝統のリーチ目が出現しやすい、リーチ目高確率ステージも存在するぞ。
